level,name,Total population_2022,Population under age 18_2022,Percent under age 18_2022,Population ages 18+_2022,Percent ages 18+_2022,Population ages 65+_2022,Percent ages 65+_2022,White population_2022,Percent white_2022,Black population_2022,Percent Black_2022,Latino population_2022,Percent Latino_2022,Other race population_2022,Percent other race_2022,Foreign-born population_2022,Percent foreign-born_2022,Total households_2022,Owner-occupied households_2022,Homeownership rate_2022,Cost-burdened households_2022,Cost-burden rate_2022,Poverty status known_2022,Population in poverty_2022,Poverty rate_2022,Low-income population_2022,Low-income rate_2022,"Under 18, poverty status known_2022",Children in poverty_2022,Child poverty rate_2022,Low-income children_2022,Child low-income rate_2022,"Ages 65+, poverty status known_2022",Seniors in poverty_2022,Senior poverty rate_2022,Low-income seniors_2022,Senior low-income rate_2022,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2021,Current asthma rate (adults)_2021,Diabetes rate (adults)_2021,Percent adults with high blood pressure_2021,Percent adults with any disability_2021,Percent adults with mobility disability_2021,Annual checkup rate (adults)_2021,Annual dental visit rate (adults)_2020,"Ages 18-64, no health insurance_2021",Current smoking rate (adults)_2021,Percent adults sleeping under 7 hours daily_2020,Satisfied with area_2015-2021,Area is good to raise kids_2015-2021,Local youth have positive role models_2015-2021,Local government is responsive_2015-2021,Have some influence over local government_2015-2021,Feel safe walking at night_2015-2021,Trust neighbors_2015-2021,Food insecure in past year_2015-2021,No bank account_2015-2021,Just getting by financially_2015-2021,"Stores, banks, etc. are in walking distance_2015-2021",Safe sidewalks in area_2015-2021,Safe places to bike in area_2015-2021,Local recreational facilities available_2015-2021
town,Weston,10336,2786,0.27,7550,0.73,1507,0.15,7915,0.77,448,0.04,738,0.07,1235,0.12,1568,0.15,3549,3453,0.97,1323,0.38,10336,194,0.02,609,0.06,2786,44,0.02,158,0.06,1507,7,0,88,0.06,86.5,0.042,0.096,0.066,0.252,0.151,0.071,0.745,0.817,0.033,0.079,0.276,0.94,0.97,0.94,0.71,0.74,0.84,0.98,0.04,0.06,0.18,0.11,0.1,0.47,0.63
town,Westport,27232,7317,0.27,19915,0.73,4998,0.18,21787,0.8,470,0.02,2326,0.09,2649,0.1,4231,0.16,9725,8613,0.89,2973,0.31,26979,1250,0.05,1859,0.07,7165,264,0.04,356,0.05,4955,243,0.05,488,0.1,85.4,0.048,0.094,0.07,0.269,0.165,0.08,0.755,0.813,0.035,0.079,0.272,0.94,0.93,0.91,0.76,0.71,0.74,0.91,0.04,0.04,0.2,0.49,0.5,0.59,0.76
town,Wethersfield,27192,5472,0.2,21720,0.8,5704,0.21,21271,0.78,950,0.03,3420,0.13,1551,0.06,3576,0.13,11362,9114,0.8,3056,0.27,27110,1587,0.06,3438,0.13,5427,419,0.08,716,0.13,5686,300,0.05,1290,0.23,82.2,0.062,0.11,0.099,0.334,0.257,0.116,0.788,0.747,0.053,0.114,0.316,0.87,0.95,0.94,0.61,0.73,0.81,0.98,0.05,0.04,0.24,0.69,0.86,0.79,0.96
town,Willington,5586,732,0.13,4854,0.87,1184,0.21,4670,0.84,45,0.01,265,0.05,606,0.11,393,0.07,2660,1724,0.65,825,0.32,5545,751,0.14,1462,0.26,691,0,0,30,0.04,1184,124,0.1,198,0.17,80.6,0.047,0.113,0.079,0.272,0.23,0.093,0.761,0.71,0.055,0.138,0.333,0.86,0.99,1,0.69,0.82,0.82,0.93,0.14,0.03,0.23,0.05,0.23,0.55,0.63
town,Wilton,18473,4970,0.27,13503,0.73,2866,0.16,14425,0.78,317,0.02,1124,0.06,2607,0.14,2744,0.15,6210,5511,0.89,1731,0.28,18218,396,0.02,921,0.05,4951,57,0.01,93,0.02,2730,36,0.01,245,0.09,82.1,0.045,0.094,0.066,0.256,0.16,0.076,0.747,0.813,0.035,0.08,0.275,0.9,0.94,0.9,0.69,0.65,0.84,0.92,0.02,0.01,0.17,0.27,0.22,0.52,0.7
town,Winchester,10278,1626,0.16,8652,0.84,2567,0.25,8655,0.84,339,0.03,998,0.1,286,0.03,576,0.06,4814,3049,0.63,1786,0.38,10082,1334,0.13,2536,0.25,1466,136,0.09,485,0.33,2538,419,0.17,592,0.23,79.6,0.063,0.108,0.099,0.309,0.273,0.132,0.74,0.668,0.074,0.162,0.338,0.7,0.68,0.52,0.51,0.58,0.62,0.81,0.22,0.05,0.48,0.42,0.36,0.56,0.59
town,Windham,24450,4013,0.16,20437,0.84,3746,0.15,14820,0.61,1239,0.05,7450,0.3,941,0.04,1815,0.07,9307,4679,0.5,3643,0.41,21064,4647,0.22,9356,0.44,3973,1098,0.28,2488,0.63,3494,212,0.06,859,0.25,77.5,0.055,0.125,0.111,0.295,0.343,0.145,0.728,0.603,0.137,0.181,0.356,0.8,0.46,0.47,0.49,0.69,0.63,0.7,0.2,0.13,0.39,0.65,0.68,0.68,0.7
town,Windsor,29445,5720,0.19,23725,0.81,5299,0.18,12989,0.44,10675,0.36,3103,0.11,2678,0.09,3650,0.12,11217,9152,0.82,3259,0.3,29143,1476,0.05,4241,0.15,5710,276,0.05,966,0.17,5067,219,0.04,900,0.18,80.1,0.054,0.118,0.111,0.348,0.254,0.117,0.796,0.719,0.058,0.121,0.357,0.9,0.82,0.8,0.61,0.78,0.73,0.92,0.11,0.02,0.33,0.63,0.82,0.76,0.88
town,Windsor Locks,12563,2343,0.19,10220,0.81,2192,0.17,9344,0.74,790,0.06,862,0.07,1567,0.12,1465,0.12,5417,4327,0.8,1577,0.3,12513,1127,0.09,2589,0.21,2334,239,0.1,681,0.29,2151,244,0.11,507,0.24,79.1,0.061,0.116,0.101,0.33,0.275,0.122,0.772,0.703,0.062,0.145,0.342,0.82,0.71,0.86,0.43,0.53,0.76,0.91,0.11,0.1,0.3,0.45,0.78,0.63,0.78
town,Wolcott,16188,3442,0.21,12746,0.79,3051,0.19,13625,0.84,647,0.04,873,0.05,1043,0.06,1114,0.07,6087,5292,0.87,1631,0.27,16078,212,0.01,1310,0.08,3439,0,0,310,0.09,2979,73,0.02,478,0.16,79.4,0.05,0.105,0.082,0.297,0.225,0.1,0.752,0.755,0.052,0.143,0.341,0.9,0.89,0.83,0.56,0.72,0.76,0.94,0.07,0.02,0.27,0.41,0.22,0.49,0.63
town,Woodbridge,9050,2409,0.27,6641,0.73,1859,0.21,7157,0.79,162,0.02,549,0.06,1182,0.13,1578,0.17,3180,2855,0.9,598,0.19,8947,103,0.01,544,0.06,2395,33,0.01,161,0.07,1785,26,0.01,92,0.05,81.1,0.052,0.095,0.085,0.311,0.196,0.09,0.782,0.809,0.035,0.089,0.304,0.99,0.94,0.97,0.59,0.75,0.61,0.99,0,0.01,0.18,0.19,0.16,0.49,0.68
town,Woodbury,9775,1515,0.15,8260,0.85,2907,0.3,8686,0.89,211,0.02,360,0.04,518,0.05,752,0.08,4494,3466,0.77,1202,0.27,9775,418,0.04,937,0.1,1515,0,0,62,0.04,2907,171,0.06,385,0.13,84.5,0.055,0.1,0.086,0.294,0.216,0.103,0.757,0.754,0.045,0.112,0.309,0.87,0.93,0.94,0.64,0.78,0.83,0.93,0.06,0.03,0.32,0.37,0.34,0.61,0.71
town,Woodstock,8243,1782,0.22,6461,0.78,1441,0.17,7108,0.86,9,0,953,0.12,173,0.02,179,0.02,3393,2894,0.85,769,0.24,8243,319,0.04,811,0.1,1782,81,0.05,136,0.08,1441,19,0.01,135,0.09,82.6,0.05,0.107,0.089,0.305,0.232,0.107,0.759,0.763,0.046,0.133,0.321,0.95,0.96,1,0.63,0.77,0.68,0.93,0.06,0,0.23,0.06,0.18,0.45,0.54
