level,name,Total population_2022,Population under age 18_2022,Percent under age 18_2022,Population ages 18+_2022,Percent ages 18+_2022,Population ages 65+_2022,Percent ages 65+_2022,White population_2022,Percent white_2022,Black population_2022,Percent Black_2022,Latino population_2022,Percent Latino_2022,Other race population_2022,Percent other race_2022,Foreign-born population_2022,Percent foreign-born_2022,Total households_2022,Owner-occupied households_2022,Homeownership rate_2022,Cost-burdened households_2022,Cost-burden rate_2022,Poverty status known_2022,Population in poverty_2022,Poverty rate_2022,Low-income population_2022,Low-income rate_2022,"Under 18, poverty status known_2022",Children in poverty_2022,Child poverty rate_2022,Low-income children_2022,Child low-income rate_2022,"Ages 65+, poverty status known_2022",Seniors in poverty_2022,Senior poverty rate_2022,Low-income seniors_2022,Senior low-income rate_2022,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2021,Current asthma rate (adults)_2021,Diabetes rate (adults)_2021,Percent adults with high blood pressure_2021,Percent adults with any disability_2021,Percent adults with mobility disability_2021,Annual checkup rate (adults)_2021,Annual dental visit rate (adults)_2020,"Ages 18-64, no health insurance_2021",Current smoking rate (adults)_2021,Percent adults sleeping under 7 hours daily_2020,Satisfied with area_2015-2021,Area is good to raise kids_2015-2021,Local youth have positive role models_2015-2021,Local government is responsive_2015-2021,Have some influence over local government_2015-2021,Feel safe walking at night_2015-2021,Trust neighbors_2015-2021,Food insecure in past year_2015-2021,No bank account_2015-2021,Just getting by financially_2015-2021,"Stores, banks, etc. are in walking distance_2015-2021",Safe sidewalks in area_2015-2021,Safe places to bike in area_2015-2021,Local recreational facilities available_2015-2021
town,Groton,38217,7142,0.19,31075,0.81,7224,0.19,27537,0.72,1733,0.05,3932,0.1,5015,0.13,3375,0.09,16391,8878,0.54,4983,0.31,36406,3073,0.08,8612,0.24,7028,868,0.12,2485,0.35,6896,386,0.06,1203,0.17,79.3,0.047,0.11,0.082,0.258,0.244,0.092,0.754,0.712,0.074,0.143,0.34,0.83,0.79,0.82,0.5,0.67,0.76,0.9,0.15,0.05,0.34,0.55,0.76,0.69,0.77
town,Guilford,22046,4909,0.22,17137,0.78,5599,0.25,18975,0.86,436,0.02,1248,0.06,1387,0.06,1845,0.08,8786,7488,0.85,2813,0.32,21884,618,0.03,2454,0.11,4908,83,0.02,494,0.1,5459,176,0.03,910,0.17,83.3,0.051,0.1,0.084,0.309,0.201,0.094,0.774,0.798,0.038,0.108,0.314,0.97,0.97,0.95,0.79,0.83,0.83,0.98,0.04,0.03,0.2,0.22,0.27,0.64,0.69
town,Haddam,8492,1881,0.22,6611,0.78,1648,0.19,7420,0.87,67,0.01,303,0.04,702,0.08,425,0.05,3217,2834,0.88,915,0.29,8388,291,0.03,1113,0.13,1881,85,0.05,373,0.2,1564,88,0.06,202,0.13,83.4,0.051,0.107,0.085,0.291,0.213,0.096,0.781,0.76,0.046,0.127,0.299,0.8,0.88,0.98,0.38,0.68,0.84,0.97,0,0.04,0.13,0.14,0.12,0.54,0.55
town,Hamden,61069,10671,0.17,50398,0.83,10205,0.17,34025,0.56,13843,0.23,8341,0.14,4860,0.08,7919,0.13,22891,14471,0.63,7726,0.35,54584,4986,0.09,10642,0.19,10465,1131,0.11,2437,0.23,9745,706,0.07,2015,0.21,80.1,0.046,0.11,0.086,0.29,0.228,0.098,0.758,0.739,0.06,0.122,0.348,0.82,0.72,0.77,0.48,0.66,0.66,0.84,0.14,0.08,0.32,0.63,0.81,0.82,0.76
town,Hampton,1639,287,0.18,1352,0.82,364,0.22,1389,0.85,1,0,206,0.13,43,0.03,20,0.01,681,620,0.91,148,0.22,1639,99,0.06,271,0.17,287,23,0.08,86,0.3,364,18,0.05,40,0.11,83.6,0.056,0.109,0.1,0.324,0.255,0.121,0.76,0.737,0.051,0.149,0.33,0.81,0.74,0.85,0.53,0.8,0.7,0.89,0.1,0.07,0.35,0.05,0,0.59,0.43
town,Hartford,121057,27916,0.23,93141,0.77,13726,0.11,18023,0.15,41103,0.34,55823,0.46,6108,0.05,25717,0.21,48277,12378,0.26,24658,0.54,113596,30538,0.27,57725,0.51,27323,9985,0.37,17883,0.65,13307,3537,0.27,6663,0.5,77.1,0.058,0.14,0.152,0.348,0.375,0.17,0.761,0.521,0.18,0.198,0.411,0.7,0.37,0.49,0.3,0.67,0.44,0.59,0.3,0.26,0.52,0.8,0.85,0.66,0.79
town,Hartland,1806,300,0.17,1506,0.83,354,0.2,1662,0.92,3,0,79,0.04,62,0.03,43,0.02,738,669,0.91,148,0.2,1806,59,0.03,147,0.08,300,0,0,11,0.04,354,21,0.06,53,0.15,83.1,0.056,0.115,0.093,0.322,0.248,0.11,0.773,0.74,0.047,0.141,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Harwinton,5509,1101,0.2,4408,0.8,1101,0.2,4835,0.88,277,0.05,309,0.06,88,0.02,527,0.1,2069,1933,0.93,483,0.24,5492,174,0.03,382,0.07,1084,61,0.06,61,0.06,1101,7,0.01,55,0.05,83.3,0.054,0.099,0.082,0.289,0.215,0.101,0.751,0.754,0.046,0.118,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Hebron,9127,1969,0.22,7158,0.78,1731,0.19,8357,0.92,68,0.01,372,0.04,330,0.04,340,0.04,3528,3130,0.89,882,0.25,9119,437,0.05,750,0.08,1964,104,0.05,162,0.08,1731,101,0.06,231,0.13,84.3,0.044,0.107,0.075,0.279,0.192,0.084,0.777,0.765,0.041,0.122,0.323,0.94,0.97,0.99,0.61,0.82,0.89,0.96,0.02,0,0.14,0.18,0.1,0.82,0.68
town,Kent,3015,370,0.12,2645,0.88,864,0.29,2463,0.82,0,0,234,0.08,318,0.11,312,0.1,1277,936,0.73,272,0.23,2838,257,0.09,470,0.17,370,84,0.23,120,0.32,821,10,0.01,56,0.07,81.6,0.062,0.099,0.092,0.312,0.233,0.113,0.765,0.746,0.051,0.113,0.304,1,0.93,0.94,0.68,0.89,0.72,1,0.03,0.12,0.16,0.33,0.38,0.77,0.7
town,Killingly,17757,3877,0.22,13880,0.78,3262,0.18,13945,0.79,266,0.01,2550,0.14,996,0.06,767,0.04,7137,4733,0.66,2399,0.35,17469,2423,0.14,4932,0.28,3862,791,0.2,1574,0.41,3040,352,0.12,801,0.26,78.2,0.059,0.118,0.104,0.321,0.298,0.141,0.743,0.671,0.077,0.186,0.347,0.78,0.7,0.68,0.4,0.57,0.63,0.78,0.23,0.12,0.41,0.54,0.55,0.59,0.63
town,Killingworth,6216,1139,0.18,5077,0.82,1354,0.22,5611,0.9,0,0,145,0.02,460,0.07,109,0.02,2335,2280,0.98,511,0.22,6216,216,0.03,703,0.11,1139,0,0,292,0.26,1354,158,0.12,207,0.15,84.5,0.053,0.104,0.087,0.301,0.205,0.094,0.795,0.784,0.039,0.111,0.288,0.93,0.93,0.93,0.59,0.66,0.85,0.93,0.03,0,0.24,0.13,0.08,0.67,0.74
town,Lebanon,7145,1316,0.18,5829,0.82,1338,0.19,6515,0.91,0,0,322,0.05,308,0.04,391,0.05,2795,2419,0.87,620,0.23,7142,332,0.05,1169,0.16,1314,149,0.11,320,0.24,1338,19,0.01,294,0.22,79.8,0.052,0.111,0.088,0.285,0.23,0.098,0.771,0.749,0.054,0.151,0.336,0.93,0.9,0.92,0.61,0.74,0.79,0.89,0.11,0.09,0.21,0.05,0.06,0.75,0.65
town,Ledyard,15394,4068,0.26,11326,0.74,2432,0.16,12515,0.81,425,0.03,895,0.06,1559,0.1,589,0.04,5567,4686,0.84,1534,0.29,15383,1044,0.07,2303,0.15,4060,446,0.11,796,0.2,2432,136,0.06,360,0.15,81.8,0.048,0.108,0.085,0.274,0.216,0.089,0.773,0.766,0.05,0.131,0.332,0.83,0.88,0.9,0.53,0.7,0.73,0.92,0.06,0.04,0.25,0.24,0.2,0.51,0.58
town,Lisbon,4202,1041,0.25,3161,0.75,778,0.19,3967,0.94,2,0,34,0.01,199,0.05,57,0.01,1590,1474,0.93,555,0.36,4198,285,0.07,853,0.2,1041,87,0.08,321,0.31,778,92,0.12,200,0.26,81.2,0.052,0.108,0.085,0.284,0.227,0.096,0.774,0.763,0.051,0.145,0.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Litchfield,8232,1384,0.17,6848,0.83,1953,0.24,6613,0.8,264,0.03,688,0.08,667,0.08,711,0.09,3481,2871,0.82,1058,0.31,8126,313,0.04,1320,0.16,1359,36,0.03,266,0.2,1885,79,0.04,334,0.18,81,0.063,0.101,0.094,0.314,0.24,0.117,0.762,0.735,0.05,0.121,0.31,0.95,0.92,0.91,0.62,0.75,0.71,0.89,0.17,0.04,0.43,0.26,0.37,0.64,0.61
town,Lyme,2390,381,0.16,2009,0.84,617,0.26,2153,0.9,79,0.03,26,0.01,132,0.06,124,0.05,956,850,0.89,224,0.24,2390,53,0.02,182,0.08,381,16,0.04,53,0.14,617,6,0.01,65,0.11,82.3,0.063,0.101,0.095,0.322,0.219,0.1,0.81,0.809,0.035,0.098,0.293,0.97,0.93,0.86,0.85,0.8,0.83,1,0.07,0.04,0.32,0.15,0.17,0.5,0.71
town,Madison,17658,3442,0.19,14216,0.81,4248,0.24,15910,0.9,92,0.01,416,0.02,1240,0.07,1241,0.07,6825,6139,0.9,1883,0.28,17492,435,0.02,1018,0.06,3411,50,0.01,78,0.02,4160,154,0.04,451,0.11,82.6,0.052,0.099,0.083,0.312,0.197,0.092,0.78,0.81,0.034,0.099,0.307,0.95,0.99,0.94,0.68,0.83,0.89,0.97,0.03,0.07,0.2,0.44,0.27,0.74,0.63
town,Manchester,59510,12273,0.21,47237,0.79,9349,0.16,31833,0.53,8503,0.14,10235,0.17,8939,0.15,9304,0.16,24900,13439,0.54,7853,0.32,58839,6981,0.12,15406,0.26,12158,2113,0.17,4243,0.35,8923,1100,0.12,2605,0.29,79.5,0.051,0.116,0.093,0.3,0.257,0.108,0.764,0.699,0.068,0.133,0.344,0.83,0.66,0.72,0.5,0.62,0.68,0.82,0.16,0.12,0.35,0.72,0.86,0.84,0.85
town,Mansfield,28378,2696,0.1,25682,0.9,2972,0.1,20870,0.74,862,0.03,1749,0.06,4897,0.17,3817,0.13,6672,3887,0.58,2615,0.43,15388,3567,0.23,5444,0.35,2546,298,0.12,536,0.21,2888,157,0.05,513,0.18,82.4,0.034,0.131,0.059,0.207,0.286,0.075,0.736,0.626,0.078,0.129,0.346,0.89,0.8,0.89,0.61,0.73,0.75,0.89,0.12,0.08,0.27,0.45,0.48,0.75,0.76
town,Marlborough,6134,1431,0.23,4703,0.77,1003,0.16,4929,0.8,116,0.02,760,0.12,329,0.05,359,0.06,2096,1914,0.91,367,0.18,6016,540,0.09,689,0.11,1414,107,0.08,133,0.09,902,41,0.05,141,0.16,77.9,0.051,0.111,0.09,0.312,0.223,0.098,0.777,0.763,0.041,0.117,0.32,0.87,0.94,1,0.45,0.71,0.96,0.97,0.03,0,0.38,0.25,0.11,0.64,0.63
town,Meriden,60556,13082,0.22,47474,0.78,9507,0.16,30579,0.5,4333,0.07,22447,0.37,3197,0.05,6164,0.1,25018,14878,0.59,9300,0.38,59839,9381,0.16,21052,0.35,13018,3429,0.26,7192,0.55,8977,889,0.1,2792,0.31,78.9,0.052,0.111,0.101,0.304,0.272,0.122,0.74,0.668,0.111,0.17,0.367,0.67,0.51,0.53,0.28,0.56,0.59,0.74,0.2,0.13,0.43,0.6,0.68,0.52,0.68
town,Middlebury,7665,1797,0.23,5868,0.77,1732,0.23,6584,0.86,41,0.01,373,0.05,667,0.09,880,0.11,2812,2528,0.9,737,0.27,7611,392,0.05,877,0.12,1790,63,0.04,122,0.07,1689,44,0.03,305,0.18,85.4,0.052,0.1,0.083,0.303,0.209,0.095,0.767,0.787,0.042,0.115,0.32,0.83,0.94,0.97,0.7,0.76,0.83,0.97,0.08,0.01,0.17,0.35,0.36,0.88,0.81
town,Middlefield,4240,666,0.16,3574,0.84,966,0.23,3807,0.9,31,0.01,89,0.02,313,0.07,258,0.06,1842,1547,0.84,525,0.29,4240,259,0.06,561,0.13,666,18,0.03,86,0.13,966,164,0.17,296,0.31,82.2,0.057,0.107,0.09,0.305,0.234,0.107,0.783,0.741,0.051,0.138,0.304,0.91,0.91,0.98,0.55,0.68,0.81,0.89,0.24,0.12,0.41,0.45,0.17,0.69,0.85
town,Middletown,48152,7111,0.15,41041,0.85,7460,0.15,31837,0.66,6376,0.13,5289,0.11,4650,0.1,5600,0.12,20539,11118,0.54,7447,0.37,43229,5156,0.12,10680,0.25,6987,1037,0.15,2134,0.31,6939,689,0.1,1688,0.24,78.7,0.05,0.115,0.089,0.278,0.245,0.105,0.767,0.699,0.069,0.14,0.322,0.88,0.74,0.79,0.58,0.68,0.73,0.85,0.13,0.07,0.34,0.61,0.7,0.62,0.69
town,Milford,52283,8927,0.17,43356,0.83,10778,0.21,43584,0.83,852,0.02,3981,0.08,3866,0.07,5051,0.1,21951,16870,0.77,6903,0.32,51860,2293,0.04,5890,0.11,8866,352,0.04,868,0.1,10483,591,0.06,1442,0.14,80.2,0.05,0.103,0.084,0.296,0.217,0.097,0.756,0.761,0.051,0.128,0.333,0.88,0.88,0.86,0.63,0.67,0.8,0.93,0.11,0.06,0.3,0.7,0.81,0.75,0.8
town,Monroe,18851,4691,0.25,14160,0.75,2922,0.16,16558,0.88,239,0.01,798,0.04,1256,0.07,1846,0.1,6114,5684,0.93,1769,0.29,18851,529,0.03,1038,0.06,4691,165,0.04,243,0.05,2922,34,0.01,232,0.08,81.6,0.046,0.1,0.07,0.258,0.185,0.087,0.73,0.769,0.051,0.11,0.297,0.82,0.95,0.96,0.63,0.71,0.77,0.96,0.05,0.03,0.24,0.38,0.16,0.68,0.74
town,Montville,18160,3280,0.18,14880,0.82,2993,0.16,14074,0.78,1219,0.07,1174,0.06,1693,0.09,1205,0.07,6596,5327,0.81,1805,0.28,17034,1162,0.07,3114,0.18,3242,208,0.06,635,0.2,2820,132,0.05,555,0.2,81.5,0.053,0.109,0.094,0.287,0.251,0.104,0.763,0.709,0.077,0.164,0.352,0.76,0.74,0.72,0.26,0.47,0.75,0.87,0.1,0.09,0.38,0.22,0.25,0.29,0.42
town,Morris,2059,340,0.17,1719,0.83,508,0.25,1848,0.9,90,0.04,47,0.02,74,0.04,24,0.01,888,809,0.91,257,0.29,2059,235,0.11,373,0.18,340,60,0.18,77,0.23,508,12,0.02,55,0.11,78.6,0.055,0.101,0.086,0.292,0.225,0.105,0.75,0.737,0.048,0.124,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Naugatuck,31653,6146,0.19,25507,0.81,4420,0.14,19163,0.61,3969,0.13,5050,0.16,3471,0.11,5969,0.19,12257,8085,0.66,3735,0.31,31328,1717,0.05,5655,0.18,6034,358,0.06,1236,0.2,4223,309,0.07,971,0.23,80,0.048,0.11,0.085,0.287,0.241,0.104,0.737,0.71,0.071,0.161,0.357,0.75,0.66,0.69,0.44,0.62,0.71,0.84,0.18,0.11,0.46,0.54,0.54,0.54,0.6
town,New Britain,74212,17415,0.23,56797,0.77,9688,0.13,28118,0.38,8160,0.11,32910,0.44,5024,0.07,14400,0.19,28575,11815,0.41,12157,0.44,71352,14056,0.2,29719,0.42,17219,4735,0.27,10204,0.59,9183,991,0.11,3206,0.35,76.6,0.062,0.129,0.124,0.325,0.351,0.154,0.752,0.578,0.147,0.182,0.371,0.75,0.45,0.47,0.42,0.61,0.58,0.71,0.25,0.18,0.42,0.73,0.78,0.75,0.79
town,New Canaan,20639,5620,0.27,15019,0.73,3259,0.16,17457,0.85,334,0.02,781,0.04,2067,0.1,2465,0.12,7025,5971,0.85,2216,0.32,20571,490,0.02,1302,0.06,5620,52,0.01,196,0.03,3224,155,0.05,332,0.1,85.1,0.045,0.095,0.067,0.258,0.16,0.076,0.75,0.815,0.034,0.077,0.272,0.96,0.98,0.97,0.81,0.87,0.78,0.99,0.04,0.04,0.2,0.49,0.51,0.64,0.87
town,New Fairfield,13596,3355,0.25,10241,0.75,2316,0.17,10816,0.8,122,0.01,1469,0.11,1189,0.09,1313,0.1,4590,4219,0.92,1367,0.3,13464,689,0.05,1634,0.12,3223,132,0.04,443,0.14,2316,195,0.08,342,0.15,82.9,0.044,0.1,0.068,0.253,0.176,0.082,0.729,0.775,0.048,0.11,0.297,0.9,0.94,0.82,0.68,0.81,0.78,0.96,0.08,0.03,0.25,0.17,0.27,0.35,0.64
town,New Hartford,6680,1423,0.21,5257,0.79,1104,0.17,6235,0.93,0,0,111,0.02,334,0.05,247,0.04,2707,2327,0.86,492,0.19,6680,13,0,567,0.08,1423,0,0,65,0.05,1104,13,0.01,152,0.14,83.1,0.045,0.098,0.074,0.265,0.189,0.085,0.745,0.773,0.039,0.107,0.311,0.97,0.84,0.98,0.72,0.93,0.76,0.87,0.03,0.13,0.1,0.46,0.31,0.76,0.7
town,New Haven,135736,29836,0.22,105900,0.78,14630,0.11,43696,0.32,38040,0.28,41631,0.31,12369,0.09,23754,0.18,52977,15168,0.29,25128,0.49,126367,31927,0.25,58284,0.46,29348,10536,0.36,18336,0.62,14180,2695,0.19,6307,0.44,78.2,0.048,0.125,0.117,0.308,0.301,0.135,0.74,0.594,0.136,0.185,0.402,0.77,0.43,0.54,0.38,0.69,0.46,0.65,0.21,0.21,0.4,0.78,0.85,0.73,0.73
town,New London,27596,4553,0.16,23043,0.84,4063,0.15,13518,0.49,3918,0.14,8104,0.29,2056,0.07,4804,0.17,11125,4572,0.41,4580,0.42,23743,5108,0.22,9330,0.39,4463,1624,0.36,2653,0.59,3894,431,0.11,1130,0.29,77.2,0.051,0.127,0.109,0.277,0.312,0.124,0.753,0.62,0.127,0.181,0.372,0.78,0.52,0.57,0.37,0.62,0.61,0.74,0.18,0.14,0.43,0.67,0.88,0.69,0.72
town,New Milford,28181,6173,0.22,22008,0.78,4259,0.15,22177,0.79,1155,0.04,2983,0.11,1866,0.07,2974,0.11,10775,8742,0.81,3963,0.38,27961,2084,0.07,4602,0.16,6163,411,0.07,1194,0.19,4101,291,0.07,793,0.19,81,0.047,0.102,0.079,0.267,0.213,0.096,0.737,0.733,0.055,0.123,0.323,0.87,0.85,0.86,0.55,0.72,0.75,0.92,0.08,0.06,0.32,0.27,0.22,0.5,0.58
town,Newington,30458,5313,0.17,25145,0.83,6082,0.2,21895,0.72,1453,0.05,3257,0.11,3853,0.13,6420,0.21,12514,9712,0.78,2942,0.24,30190,2319,0.08,4243,0.14,5257,570,0.11,818,0.16,5887,322,0.05,1086,0.18,81.1,0.059,0.112,0.098,0.324,0.258,0.115,0.778,0.731,0.057,0.123,0.325,0.82,0.93,0.92,0.57,0.65,0.87,0.96,0.07,0.07,0.38,0.69,0.81,0.75,0.88
town,Newtown,27341,6129,0.22,21212,0.78,5061,0.19,22328,0.82,666,0.02,2727,0.1,1620,0.06,2065,0.08,9563,8645,0.9,2710,0.29,26861,1120,0.04,2683,0.1,6129,320,0.05,669,0.11,4938,252,0.05,569,0.12,82.8,0.044,0.097,0.067,0.253,0.172,0.08,0.731,0.784,0.046,0.102,0.292,0.9,0.94,0.93,0.67,0.78,0.78,0.96,0.09,0.03,0.25,0.3,0.29,0.5,0.66
town,Norfolk,1856,361,0.19,1495,0.81,430,0.23,1456,0.78,48,0.03,194,0.1,158,0.09,90,0.05,734,535,0.73,214,0.3,1853,148,0.08,361,0.19,358,34,0.09,61,0.17,430,10,0.02,44,0.1,85.6,0.064,0.1,0.093,0.316,0.24,0.117,0.765,0.742,0.048,0.116,0.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,North Branford,13560,2571,0.19,10989,0.81,2898,0.21,12410,0.92,45,0,395,0.03,710,0.05,619,0.05,5082,4427,0.87,1419,0.28,13521,508,0.04,1769,0.13,2571,28,0.01,159,0.06,2868,199,0.07,710,0.25,80.8,0.055,0.103,0.087,0.312,0.23,0.105,0.761,0.762,0.049,0.136,0.334,0.97,0.92,0.88,0.57,0.65,0.81,0.93,0.08,0.01,0.24,0.32,0.19,0.54,0.68
town,North Canaan,3212,771,0.24,2441,0.76,651,0.2,2387,0.74,144,0.04,450,0.14,231,0.07,280,0.09,1206,705,0.58,401,0.34,2981,744,0.25,1114,0.37,641,271,0.42,278,0.43,555,55,0.1,252,0.45,74.4,0.066,0.106,0.098,0.312,0.278,0.134,0.743,0.673,0.077,0.151,0.33,0.86,0.58,0.66,0.54,0.7,0.49,0.74,0.23,0.43,0.42,0.61,0.52,0.5,0.49
town,North Haven,24179,4952,0.2,19227,0.8,5565,0.23,19735,0.82,794,0.03,1713,0.07,1937,0.08,2363,0.1,9559,7887,0.83,2243,0.24,24027,1494,0.06,3099,0.13,4888,463,0.09,733,0.15,5495,243,0.04,787,0.14,82.7,0.056,0.101,0.09,0.317,0.227,0.105,0.769,0.767,0.048,0.123,0.327,0.9,0.94,0.97,0.76,0.74,0.78,0.91,0.1,0.03,0.21,0.56,0.54,0.71,0.78
town,North Stonington,5160,947,0.18,4213,0.82,1282,0.25,4541,0.88,2,0,331,0.06,286,0.06,294,0.06,2163,1981,0.92,609,0.29,5156,284,0.06,978,0.19,946,81,0.09,178,0.19,1282,0,0,242,0.19,79.9,0.057,0.109,0.095,0.303,0.239,0.105,0.781,0.751,0.053,0.15,0.333,0.85,0.97,0.9,0.61,0.77,0.68,0.97,0.1,0.02,0.26,0.15,0.1,0.35,0.63
town,Norwalk,91050,17667,0.19,73383,0.81,14373,0.16,40678,0.45,15754,0.17,28000,0.31,6618,0.07,27260,0.3,35272,19345,0.55,13968,0.41,90431,9828,0.11,20682,0.23,17305,2779,0.16,5809,0.34,14133,1149,0.08,3066,0.22,82.6,0.046,0.104,0.082,0.261,0.214,0.1,0.719,0.697,0.1,0.125,0.323,0.85,0.73,0.75,0.5,0.65,0.7,0.85,0.1,0.1,0.32,0.74,0.74,0.63,0.68
town,Norwich,40054,8001,0.2,32053,0.8,7770,0.19,24944,0.62,3938,0.1,6021,0.15,5151,0.13,5344,0.13,17165,9329,0.54,6577,0.39,39646,5180,0.13,13046,0.33,7786,1262,0.16,3204,0.41,7605,701,0.09,2187,0.29,77.4,0.058,0.118,0.109,0.301,0.29,0.127,0.765,0.658,0.096,0.185,0.366,0.74,0.59,0.58,0.3,0.61,0.63,0.75,0.2,0.08,0.37,0.56,0.63,0.45,0.54
town,Old Lyme,7648,1601,0.21,6047,0.79,1896,0.25,6591,0.86,1,0,590,0.08,466,0.06,596,0.08,3057,2602,0.85,771,0.26,7510,264,0.04,701,0.09,1463,32,0.02,100,0.07,1896,100,0.05,325,0.17,82.2,0.062,0.103,0.096,0.317,0.227,0.102,0.802,0.792,0.041,0.113,0.303,0.88,0.94,0.92,0.76,0.7,0.74,0.93,0.09,0.06,0.25,0.24,0.22,0.59,0.67
town,Old Saybrook,10492,1481,0.14,9011,0.86,3167,0.3,9657,0.92,52,0,582,0.06,201,0.02,739,0.07,4660,3930,0.84,1204,0.27,10378,441,0.04,1167,0.11,1477,25,0.02,112,0.08,3058,200,0.07,460,0.15,80.2,0.066,0.104,0.099,0.337,0.24,0.116,0.81,0.771,0.044,0.108,0.282,0.88,0.94,0.91,0.7,0.73,0.81,0.92,0,0,0.26,0.59,0.59,0.77,0.75
town,Orange,14231,3310,0.23,10921,0.77,3172,0.22,11632,0.82,615,0.04,389,0.03,1595,0.11,1944,0.14,5192,4620,0.89,1397,0.27,14175,389,0.03,963,0.07,3310,29,0.01,217,0.07,3119,162,0.05,301,0.1,83.4,0.052,0.096,0.084,0.307,0.203,0.092,0.775,0.798,0.038,0.1,0.311,0.95,0.98,0.93,0.71,0.91,0.84,0.94,0.06,0.09,0.1,0.36,0.11,0.54,0.81
town,Oxford,12801,2689,0.21,10112,0.79,2556,0.2,10573,0.83,184,0.01,1159,0.09,885,0.07,1290,0.1,4856,4466,0.92,1075,0.23,12801,224,0.02,891,0.07,2689,0,0,20,0.01,2556,140,0.05,454,0.18,82.1,0.048,0.104,0.083,0.297,0.21,0.094,0.755,0.767,0.046,0.136,0.337,0.9,0.9,0.89,0.6,0.69,0.74,0.94,0.07,0.06,0.23,0.24,0.3,0.61,0.64
town,Plainfield,15065,3095,0.21,11970,0.79,2302,0.15,12326,0.82,578,0.04,1591,0.11,570,0.04,685,0.05,6009,4254,0.71,1983,0.33,14902,1724,0.12,4372,0.29,3078,555,0.18,1427,0.46,2159,153,0.07,509,0.24,79.3,0.055,0.118,0.099,0.311,0.296,0.136,0.735,0.668,0.081,0.196,0.354,0.82,0.7,0.68,0.44,0.61,0.58,0.82,0.13,0.06,0.41,0.38,0.56,0.4,0.6
town,Plainville,17505,3017,0.17,14488,0.83,3414,0.2,13930,0.8,313,0.02,2094,0.12,1168,0.07,2083,0.12,8046,5355,0.67,2160,0.28,17352,1228,0.07,3780,0.22,3002,369,0.12,840,0.28,3353,265,0.08,1049,0.31,79.4,0.058,0.117,0.098,0.32,0.273,0.12,0.765,0.701,0.066,0.149,0.339,0.87,0.86,0.9,0.6,0.64,0.8,0.91,0.09,0.07,0.36,0.76,0.8,0.76,0.83
town,Plymouth,11712,2209,0.19,9503,0.81,2028,0.17,9548,0.82,105,0.01,1025,0.09,1034,0.09,473,0.04,4496,3460,0.77,1357,0.31,11576,947,0.08,2283,0.2,2135,284,0.13,586,0.27,1970,149,0.08,418,0.21,78.2,0.051,0.104,0.081,0.275,0.232,0.104,0.731,0.71,0.06,0.144,0.334,0.77,0.68,0.7,0.51,0.66,0.74,0.89,0.08,0.17,0.35,0.5,0.54,0.57,0.66
town,Pomfret,4289,953,0.22,3336,0.78,779,0.18,3627,0.85,26,0.01,418,0.1,218,0.05,281,0.07,1692,1234,0.73,490,0.3,4177,237,0.06,538,0.13,935,36,0.04,65,0.07,779,25,0.03,175,0.22,NA,0.047,0.107,0.086,0.294,0.226,0.102,0.755,0.764,0.045,0.129,0.321,0.96,0.87,0.85,0.6,0.77,0.82,0.86,0.16,0,0.27,0.12,0.14,0.76,0.56
town,Portland,9409,2170,0.23,7239,0.77,1604,0.17,8346,0.89,92,0.01,413,0.04,558,0.06,548,0.06,3569,2942,0.82,963,0.27,9316,411,0.04,1389,0.15,2142,75,0.04,221,0.1,1539,33,0.02,409,0.27,81.9,0.055,0.109,0.088,0.297,0.233,0.105,0.78,0.741,0.053,0.135,0.304,0.83,0.83,0.88,0.46,0.76,0.71,0.96,0.08,0,0.12,0.46,0.58,0.57,0.51
town,Preston,4804,1008,0.21,3796,0.79,914,0.19,4414,0.92,35,0.01,113,0.02,242,0.05,200,0.04,1786,1654,0.93,408,0.23,4789,65,0.01,556,0.12,993,0,0,132,0.13,914,24,0.03,140,0.15,79,0.063,0.113,0.103,0.316,0.262,0.118,0.781,0.73,0.061,0.162,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Prospect,9411,2237,0.24,7174,0.76,1888,0.2,7592,0.81,447,0.05,847,0.09,525,0.06,1053,0.11,3208,2910,0.91,803,0.25,9277,250,0.03,884,0.1,2198,80,0.04,209,0.1,1802,20,0.01,270,0.15,81.8,0.048,0.104,0.08,0.294,0.212,0.094,0.756,0.775,0.047,0.131,0.333,0.91,0.9,0.93,0.68,0.7,0.76,0.91,0.12,0.05,0.23,0.24,0.15,0.51,0.73
